Grammar,Kanji,終,% Done,# Done,Explanation,Example (JP),Translation (EN)
71,,,0.00%,0,,,
～めく,,FALSE,,,To seem like/have the air of,春めいてきた。,It’s beginning to feel like spring.
～かたわら,傍ら,FALSE,,,Besides doing,教師のかたわら執筆もする。,"Besides being a teacher, I also write."
～と思いきや,と思いきや,FALSE,,,Although I thought that...,勝ったと思いきや負けた。,"I thought we won, but we lost."
～が早いか,が早いか,FALSE,,,As soon as,ベルが鳴るが早いか走り出した。,"As soon as the bell rang, I ran."
ただ～のみ,,FALSE,,,Only/just,ただ見守るのみ。,All I can do is watch.
～なり,,FALSE,,,As soon as,家に着くなり寝た。,"As soon as I got home, I slept."
～や否や（いなや）,や否や,FALSE,,,As soon as,空港に着くや否や電話した。,I called as soon as I arrived at the airport.
～ごとき,如き,FALSE,,,Like/such as (humble),私ごときが失礼します。,Someone like me is being rude.
～がてら,,FALSE,,,On the occasion of,散歩がてら買い物する。,Shop while taking a walk.
～を皮切りに,皮切り,FALSE,,,Starting with,東京を皮切りに全国へ広がった。,"It spread nationwide, starting with Tokyo."
～をもって,を以て,FALSE,,,With/by means of (formal),本日をもって終了します。,We conclude as of today.
～が最後,が最後,FALSE,,,Once something happens,飲み始めたが最後止まらない。,"Once I start drinking, I can’t stop."
～まみれ,,FALSE,,,Covered in,泥まみれになった。,I got covered in mud.
～とあれば,,FALSE,,,If it is for the sake of,彼のためとあれば協力する。,"If it’s for him, I’ll cooperate."
～ともなると,,FALSE,,,Once it reaches the point of,大人ともなると責任がある。,Adults must take responsibility.
～なくしては,,FALSE,,,Without,努力なくしては成功しない。,There’s no success without effort.
～なしに,,FALSE,,,Without,許可なしに入れない。,You can't enter without permission.
～ならでは,,FALSE,,,Only possible with,これは日本ならではの文化だ。,This is a culture unique to Japan.
～に足る,足る,FALSE,,,Worthy of,信頼に足る人物。,A person worthy of trust.
～とあって,,FALSE,,,Because of (special condition),休日とあって混んでいる。,It’s crowded because it’s a holiday.
～べく,,FALSE,,,In order to,成功すべく努力する。,Work hard to succeed.
～かたがた,,FALSE,,,At the same time,挨拶かたがた伺います。,I’ll visit you to greet you as well.
～たところで,,FALSE,,,Even if,行ったところで無駄だ。,"Even if I go, it’s useless."
～であれ,,FALSE,,,Even if/even though,理由が何であれ許せない。,"Whatever the reason, I can’t forgive it."
～にたえない,に堪えない,FALSE,,,Cannot bear,見るにたえない光景。,An unbearable sight.
～を限りに,を限りに,FALSE,,,As of,今日を限りに辞めます。,I quit as of today.
～ところを,,FALSE,,,Despite being (polite),お忙しいところをすみません。,Sorry to bother you when you're busy.
～にそくして,に即して,FALSE,,,In accordance with,法律に即して判断する。,Judge according to the law.
～とはいえ,,FALSE,,,Though it may be,学生とはいえ大人だ。,"Though a student, still an adult."
～が早いか,,FALSE,,,If only,早く言えばよかったものを。,If only you had said it earlier.
～ものを,,FALSE,,,Even if,何をしようが関係ない。,"No matter what you do, it doesn’t matter."
～ようが,如何,FALSE,,,Depending on,結果いかんでは中止。,"Depending on the result, it may be canceled."
～いかん,相まって,FALSE,,,Combined with,努力と才能が相まって成功した。,Succeeded through effort combined with talent.
～と相まって,を余所に,FALSE,,,Ignoring,危険をよそに進んだ。,Proceeded ignoring the danger.
～をよそに,,FALSE,,,Even if not,毎日でないまでも週に三回。,"If not daily, at least three times a week."
～ないまでも,差し支えない,FALSE,,,It’s okay to...,見てもさしつかえない。,It’s okay to look.
～てもさしつかえない,,FALSE,,,As a (formal),教師たる者,One who is a teacher
～たる,,FALSE,,,Unworthy of,許すまじき行為。,An unforgivable act.
～まじき,極まる,FALSE,,,Extremely,失礼極まる。,Extremely rude.
